Subject;Female_inv_L58;Female_inv_L59;Female_inv_L65;Female_inv_L69;Female_inv_R91;Female_inv_R96;Female_inv_R90;Female_inv_R89;Female_up_L58;Female_up_L59;Female_up_L65;Female_up_L69;Female_up_R91;Female_up_R96;Female_up_R90;Female_up_R89;Male_inv_L58;Male_inv_L59;Male_inv_L65;Male_inv_L69;Male_inv_R91;Male_inv_R96;Male_inv_R90;Male_inv_R89;Male_up_L58;Male_up_L59;Male_up_L65;Male_up_L69;Male_up_R91;Male_up_R96;Male_up_R90;Male_up_R89
1;182.00000;182.00000;182.00000;182.00000;184.00000;184.00000;184.00000;180.00000;174.00000;176.00000;174.00000;170.00000;176.00000;174.00000;174.00000;170.00000;184.00000;188.00000;184.00000;184.00000;188.00000;184.00000;184.00000;182.00000;174.00000;172.00000;174.00000;176.00000;174.00000;174.00000;176.00000;178.00000
2;184.00000;178.00000;188.00000;182.00000;178.00000;178.00000;178.00000;190.00000;174.00000;170.00000;172.00000;174.00000;174.00000;174.00000;174.00000;164.00000;182.00000;184.00000;182.00000;180.00000;174.00000;180.00000;178.00000;182.00000;178.00000;176.00000;178.00000;174.00000;178.00000;170.00000;174.00000;166.00000
3;174.00000;176.00000;176.00000;174.00000;180.00000;178.00000;182.00000;174.00000;166.00000;180.00000;166.00000;162.00000;174.00000;168.00000;170.00000;164.00000;178.00000;178.00000;180.00000;178.00000;180.00000;180.00000;180.00000;180.00000;158.00000;176.00000;178.00000;166.00000;172.00000;170.00000;174.00000;172.00000
4;174.00000;174.00000;174.00000;174.00000;182.00000;180.00000;178.00000;178.00000;172.00000;170.00000;170.00000;174.00000;182.00000;178.00000;170.00000;176.00000;174.00000;174.00000;174.00000;176.00000;182.00000;178.00000;178.00000;178.00000;174.00000;172.00000;174.00000;178.00000;188.00000;174.00000;180.00000;180.00000
5;186.00000;190.00000;312.00000;186.00000;180.00000;178.00000;178.00000;180.00000;434.00000;462.00000;436.00000;436.00000;172.00000;170.00000;170.00000;172.00000;192.00000;466.00000;464.00000;192.00000;184.00000;182.00000;182.00000;184.00000;174.00000;454.00000;454.00000;176.00000;172.00000;170.00000;172.00000;174.00000
6;150.00000;158.00000;152.00000;154.00000;158.00000;156.00000;158.00000;152.00000;148.00000;152.00000;148.00000;144.00000;154.00000;150.00000;150.00000;146.00000;152.00000;154.00000;152.00000;144.00000;160.00000;158.00000;156.00000;150.00000;148.00000;150.00000;146.00000;144.00000;152.00000;150.00000;150.00000;148.00000
7;174.00000;178.00000;176.00000;172.00000;172.00000;166.00000;166.00000;164.00000;170.00000;176.00000;162.00000;158.00000;162.00000;160.00000;160.00000;158.00000;180.00000;184.00000;180.00000;176.00000;168.00000;168.00000;166.00000;166.00000;170.00000;178.00000;158.00000;158.00000;158.00000;158.00000;158.00000;158.00000
8;162.00000;164.00000;162.00000;160.00000;150.00000;158.00000;158.00000;160.00000;150.00000;152.00000;154.00000;154.00000;140.00000;156.00000;156.00000;154.00000;162.00000;164.00000;162.00000;162.00000;176.00000;158.00000;162.00000;162.00000;154.00000;154.00000;154.00000;154.00000;148.00000;152.00000;148.00000;150.00000
9;180.00000;180.00000;182.00000;186.00000;188.00000;184.00000;186.00000;188.00000;168.00000;170.00000;446.00000;450.00000;178.00000;172.00000;174.00000;468.00000;184.00000;184.00000;184.00000;186.00000;186.00000;184.00000;186.00000;184.00000;170.00000;174.00000;174.00000;438.00000;180.00000;176.00000;180.00000;178.00000
10;186.00000;186.00000;186.00000;180.00000;186.00000;186.00000;186.00000;186.00000;178.00000;178.00000;176.00000;176.00000;182.00000;180.00000;180.00000;178.00000;186.00000;188.00000;188.00000;182.00000;190.00000;188.00000;190.00000;190.00000;174.00000;174.00000;174.00000;174.00000;180.00000;180.00000;180.00000;180.00000
11;182.00000;178.00000;182.00000;184.00000;172.00000;458.00000;178.00000;180.00000;172.00000;174.00000;170.00000;168.00000;164.00000;166.00000;168.00000;166.00000;182.00000;184.00000;182.00000;182.00000;176.00000;178.00000;178.00000;182.00000;176.00000;174.00000;172.00000;168.00000;166.00000;160.00000;164.00000;164.00000
